file,parse_ok,ver_sw,sys_name,hw,sys_autostart,mav_type,ekf2_en,n_topics,has_position,src_position,has_attitude,src_attitude,has_status,src_status,has_imu,src_imu,has_actuator,src_actuator,has_att_sp,src_att_sp,has_rates_sp,src_rates_sp,has_battery,src_battery,has_ekf_ratios,src_ekf_ratios,has_ekf_innov,src_ekf_innov,has_land_det,src_land_det,rate_vehicle_local_position,rate_ok_vehicle_local_position,rate_vehicle_attitude,rate_ok_vehicle_attitude,duration_s,duration_ok,dropout_frac,dropout_ok,airborne_src,airborne_s,airborne_ok,n_errors,topics_ok,rates_ok,SURVIVES,log_id,db_duration_s,db_mav_type,db_date
c97f98ab-d019-4105-825d-1a2c4ac5c9e5.ulg,True,50332160,PX4,DROTEK_IO_STAR,4990,2,,19,True,vehicle_local_position,True,vehicle_attitude,False,,True,sensor_combined,True,actuator_outputs,False,,False,,True,battery_status,True,estimator_status(legacy),True,estimator_innovations,False,,4.0,False,4.0,False,123.7,True,0.0,True,altitude_excursion,123.7,True,0,False,False,False,c97f98ab-d019-4105-825d-1a2c4ac5c9e5,123,Quadrotor,2024-08-21
5eb89340-6a56-4f7f-9b93-c9270bba44ca.ulg,True,17629952,PX4,PX4_FMU_V6C,1111,2,,72,True,vehicle_local_position,True,vehicle_attitude,True,vehicle_status,True,sensor_combined,True,actuator_outputs,True,vehicle_attitude_setpoint,True,vehicle_rates_setpoint,True,battery_status,True,estimator_innovation_test_ratios,True,estimator_innovations,True,vehicle_land_detected,10.0,True,20.0,True,76.1,True,0.0,True,land_detected,71.3,True,1,True,True,True,5eb89340-6a56-4f7f-9b93-c9270bba44ca,76,Quadrotor,2024-07-12
38dfa700-83bd-4164-ab56-e4b077d27de9.ulg,True,17760511,PX4,PX4_FMU_V6X,4001,2,1,82,True,vehicle_local_position,True,vehicle_attitude,True,vehicle_status,True,sensor_combined,True,actuator_motors,True,vehicle_attitude_setpoint,True,vehicle_rates_setpoint,False,,True,estimator_innovation_test_ratios,True,estimator_innovations,True,vehicle_land_detected,9.9,True,19.8,True,164.0,True,0.0,True,land_detected,158.7,True,0,False,True,False,38dfa700-83bd-4164-ab56-e4b077d27de9,164,Quadrotor,2025-10-25
480d4ad1-611a-4184-a00b-7c800168a1a9.ulg,True,17891583,PX4,CUAV_7_NANO,4001,2,1,82,True,vehicle_local_position,True,vehicle_attitude,True,vehicle_status,True,sensor_combined,True,actuator_motors,True,vehicle_attitude_setpoint,True,vehicle_rates_setpoint,True,battery_status,True,estimator_innovation_test_ratios,True,estimator_innovations,True,vehicle_land_detected,10.0,True,201.3,True,66.4,True,0.0,True,land_detected,62.3,True,0,True,True,True,480d4ad1-611a-4184-a00b-7c800168a1a9,66,Quadrotor,2026-08-13
0f6aebf2-d038-4b4d-8247-f49692c13342.ulg,True,17694720,PX4,PX4_FMU_V3,4001,2,,62,True,vehicle_local_position,True,vehicle_attitude,True,vehicle_status,True,sensor_combined,True,actuator_motors,True,vehicle_attitude_setpoint,True,vehicle_rates_setpoint,True,battery_status,True,estimator_innovation_test_ratios,True,estimator_innovations,True,vehicle_land_detected,10.0,True,209.0,True,61.4,True,0.0033,True,land_detected,55.1,True,0,True,True,True,0f6aebf2-d038-4b4d-8247-f49692c13342,61,Quadrotor,2025-06-02
2a01d217-0b89-45b5-a3c2-7ac6eacfdc1d.ulg,True,fd43daec31f1d402d0581b101995672a1ba9c379,PX4,PX4_FMU_V5,5001,2,,41,True,vehicle_local_position,True,vehicle_attitude,True,vehicle_status,True,sensor_combined,True,actuator_outputs,False,,False,,True,battery_status,True,estimator_innovation_test_ratios,True,estimator_innovations,True,vehicle_land_detected,50.0,True,50.0,True,82.2,True,0.0004,True,land_detected,15.3,False,0,False,True,False,2a01d217-0b89-45b5-a3c2-7ac6eacfdc1d,82,Quadrotor,2025-12-18
35462fae-502e-4b36-b1e6-75c60dbeaee5.ulg,True,17761023,PX4,PX4_FMU_V6C,4001,2,1,61,True,vehicle_local_position,True,vehicle_attitude,True,vehicle_status,True,sensor_combined,True,actuator_motors,True,vehicle_attitude_setpoint,True,vehicle_rates_setpoint,False,,True,estimator_innovation_test_ratios,True,estimator_innovations,True,vehicle_land_detected,10.0,True,20.0,True,323.3,True,0.0,True,land_detected,316.3,True,0,False,True,False,35462fae-502e-4b36-b1e6-75c60dbeaee5,323,Quadrotor,2025-03-13
51ad1a33-155e-4a2b-a6a2-ee18aec8c32a.ulg,True,17630207,PX4,PX4_FMU_V6X,4050,2,,65,True,vehicle_local_position,True,vehicle_attitude,True,vehicle_status,True,sensor_combined,True,actuator_outputs,True,vehicle_attitude_setpoint,True,vehicle_rates_setpoint,True,battery_status,True,estimator_innovation_test_ratios,True,estimator_innovations,True,vehicle_land_detected,10.0,True,160.3,True,151.2,True,0.0,True,land_detected,146.5,True,0,True,True,True,51ad1a33-155e-4a2b-a6a2-ee18aec8c32a,151,Quadrotor,2025-04-19
024a04cb-a3b9-4282-a90c-f0178c3467ad.ulg,True,17826047,PX4,CUBEPILOT_CUBEORANGE,4001,2,1,74,True,vehicle_local_position,True,vehicle_attitude,True,vehicle_status,True,sensor_combined,True,actuator_motors,True,vehicle_attitude_setpoint,True,vehicle_rates_setpoint,False,,True,estimator_innovation_test_ratios,True,estimator_innovations,True,vehicle_land_detected,10.0,True,191.8,True,69.0,True,0.0001,True,land_detected,62.2,True,0,False,True,False,024a04cb-a3b9-4282-a90c-f0178c3467ad,68,Quadrotor,2025-09-19
29377ae8-ebc6-481e-9871-5d760e3b41fb.ulg,True,17826559,PX4,PX4_FMU_V6X,4001,2,1,76,True,vehicle_local_position,True,vehicle_attitude,True,vehicle_status,True,sensor_combined,True,actuator_motors,True,vehicle_attitude_setpoint,True,vehicle_rates_setpoint,True,battery_status,True,estimator_innovation_test_ratios,True,estimator_innovations,True,vehicle_land_detected,10.0,True,20.0,True,78.5,True,0.0,True,land_detected,74.8,True,0,True,True,True,29377ae8-ebc6-481e-9871-5d760e3b41fb,78,Quadrotor,2026-06-12
