log_id,ver_sw,band,n_varying
503564b8-65e6-4c8a-ba4b-b2aa44d9f6b6,17695488,v1.16,2
3615cdfc-c67d-4921-8cb1-e9e84b2df847,17694848,v1.16,9
ed8a4b20-41aa-4fd0-812a-fb2777a8f157,17761280,v1.17+,17
7438fecf-bbaa-466a-9e8b-db458c39b822,17761280,v1.17+,18
3efb1d3c-da33-45e8-ab47-5f7c778562da,17630207,v1.16,6
aca0a0b6-72bc-4e7a-b658-3f92471b6efc,17760511,v1.17+,7
ceba37a7-e418-4fbd-a42d-aec3d150d9bd,17564416,v1.14-1.15,9
fd2eaf70-6dc3-4ea6-8b51-ed3f7921cadb,17498367,v1.14-1.15,11
b0a2abcf-b670-450e-9533-4a4757a8fb32,17694720,v1.16,5
d7ac3270-b439-4d1f-874d-2b48f76faeda,17761023,v1.17+,10
03118b5a-65fd-4ce7-b8ce-48abc3c3b76b,17826240,v1.17+,14
42feae98-7a7b-441f-a9bc-1aeeedc65af8,17891392,v1.17+,8
46529578-1475-484c-acd7-2526980c0816,17564159,v1.14-1.15,5
4af15abc-cb63-40e7-b590-be655d35d15b,17760256,v1.17+,13
397b56d4-9ae2-4485-a8a0-05a1e8df4ec2,17695743,v1.16,7
c26b8405-6bcb-467e-85ae-9fd7f17d5810,17499135,v1.14-1.15,9
0202a604-3a57-477b-bab4-300cdaad29ad,17826047,v1.17+,14
24cd1f1d-2611-4b46-9653-18fee3a20caa,17891583,v1.17+,14
755afa0d-28d0-43ef-a27b-b94f253ede48,67441920,v1.17+,5
31468199-8616-4bff-81ac-73f8432f9570,17564416,v1.14-1.15,5
452330f6-e53a-4e58-b11b-ee233e0021c3,17564416,v1.14-1.15,6
231e8ee9-168f-4a3f-b89d-767002b54b4b,255,,14
a17bce5e-bffa-4ee8-8a76-db67cbaedc5f,17826304,v1.17+,14
a69ad56e-8cc8-427c-b13b-ad8e81aa9e73,17499135,v1.14-1.15,10
c84b2e46-7da9-47d7-bb2c-565ffa16e059,17564416,v1.14-1.15,6
84b1775f-df5f-4527-ab05-cfe727efd2ea,17826047,v1.17+,16
5907593b-c98f-4a6c-a2d8-da72f1215974,17891392,v1.17+,14
e6d6ef66-0806-4319-8521-d09e495d602e,17694720,v1.16,2
b5232659-179a-411e-8fa5-8a29d5d8af2c,17629695,v1.16,7
94e1c4a3-8585-47c1-b947-d3370449b4d6,17694720,v1.16,7
13787cda-030a-4d5a-8dc7-112f489ac1cb,17761535,v1.17+,14
7569afd8-9edc-4d93-9595-4403f52733a8,17761535,v1.17+,4
9932bbf3-df4a-4e12-ad52-bb6677e15466,17891392,v1.17+,14
86c5fdd8-fd83-4c60-ab80-efe4e4f959e4,100729344,v1.17+,11
a70b0198-2d44-4d7a-99e5-4080a0d7dcdf,17629952,v1.16,3
4967d841-b6a1-4b98-83df-b392a7b40068,17760384,v1.17+,16
3b9666b0-631a-4521-bd81-ea19a913af04,17695232,v1.16,21
dac21d21-9207-400c-9deb-0e9730cb5b7e,17761535,v1.17+,14
6268078e-7d13-431b-beda-c501dcb3af95,17891392,v1.17+,14
f97739b1-9303-46f2-9be0-005736c467f4,17629184,v1.16,10
79b48c2c-c1ba-44ef-b75f-3baf3dfb7c9e,17695488,v1.16,7
ca0c72f6-c71c-4f37-9493-8c56e14e3be4,17170944,v1.12-1.13,14
ad77bad6-89e9-4e72-b5da-18519d234cf3,17694975,v1.16,6
044c8139-4a9e-47aa-bf10-ecc8cdca54c8,17761535,v1.17+,14
1ca2dce7-b271-4335-9a66-b664110ea5ff,17564416,v1.14-1.15,6
9f1c29b5-bd75-4b76-8611-23f9d2a45c6e,17761280,v1.17+,19
ab16429e-5737-452a-ac5f-e305dc55c618,17564671,v1.14-1.15,6
1c7a95be-cdae-4076-8acd-419805a96d9e,17760767,v1.17+,14
901ea981-5833-4267-a390-76df547c7334,17695744,v1.16,2
9d5c4c6e-4b30-47c6-9525-7d319fb9a578,17694720,v1.16,5
01514b8d-0954-40d4-b245-46a13ba77ed3,17825984,v1.17+,14
ff207344-fa2e-4e3f-b196-9f3b8d5dc8f9,17564416,v1.14-1.15,6
ff4719af-3a2c-418d-a6ae-e2ce2c096083,17694720,v1.16,7
c6bc4815-837e-4873-898f-b2032e305954,17629952,v1.16,3
d91ccfaa-5ff2-489c-837a-699616a96f51,17760256,v1.17+,16
ba8ee772-4801-4ee4-ac06-681cc751149a,17760384,v1.17+,14
