log_id,ver_sw,n_topics,n_ratios_total,n_ratios_varying
02e0b652-93c8-4b1f-a2b0-66cb451d56b0,17694720,64,34,6
04972883-b141-44c7-aef8-13b983daba55,17761280,79,33,15
09b2bbea-7c4b-4b06-bf2f-e602849c5330,17760384,71,33,14
0b3ad54c-c83e-4584-99a3-bc4cc7d93461,17564671,72,28,6
0c703196-27bf-43f3-91ff-d733abf02753,17694975,72,34,8
0e193ecf-cece-4d97-b74f-6d3d5f7428fd,17564416,66,28,6
122b11f6-3db6-48ca-b1c1-2f1bbf2a5867,17761280,81,33,17
20173907-5c19-431e-a379-ee1857faad75,17761535,66,33,14
2e0f6679-68de-4812-a604-b09dd5e2632a,17891328,80,31,10
2e47eaa1-3b0f-4df9-aaec-7e3a99fdc5af,17564416,69,28,7
368b654f-63d4-4784-9bf9-2f8a3d09445d,18350592,92,28,10
3900ad47-c9e7-4b7b-ba68-d0abcc1b42b8,17825920,80,31,14
4801b7d6-821e-4300-8b61-1106207bebcb,17891583,87,31,14
48f72fa6-428e-4782-8b7c-91fd7714f5b7,17629952,71,29,5
52c1317a-ceee-4f8e-98ea-1e6704ac43f7,17694720,75,34,10
56b0bff8-43b5-48e4-ac37-3f8b66f18cb7,17629951,54,29,3
5e3e44d5-6f11-4478-b03b-33967f95046f,17760384,72,33,16
5f729dc9-fb6d-4723-b8df-a122aba097ed,17826047,86,31,14
60e52c8a-db1c-4a1f-8fbe-7fc5bc9b6cea,17760256,66,33,14
7154f523-367d-4ad5-84b3-de4bc1028b5e,17630207,57,29,5
892ead70-6c79-420f-a4ca-cc63196a2be7,17695743,73,34,6
89ee1f4e-f8f1-4145-886c-078f71dd05f9,17564416,66,28,6
b3960c41-e068-4b8f-9d2a-43936a43be2c,17826047,85,31,14
b8608076-c365-4c72-b483-f9983144ab7f,17695488,67,34,3
ceb24a42-96de-43c3-bf46-a595ea7649f3,17760320,72,33,11
d05d16cc-a011-4176-81fb-3bcd41513fb9,17630207,67,29,4
d20b796a-4877-4ecf-b392-91c06825e3cb,17563904,78,28,8
d4636ed6-8773-484f-a5e3-6f7a523e18f5,17499135,51,34,11
d4ec2ad5-2a96-447c-8e9b-4c483595a155,17629184,72,29,6
e69f5722-bbf9-4d0e-a47b-250e3525250d,17825984,76,31,14
ec897644-0d28-445c-8f52-d1a97ec84c3a,16779776,70,33,11
eddb5db9-b736-49f9-a34e-3a0b2d586b48,17761280,74,33,17
f3d76507-2c2c-4f04-b214-87d1dcd78b20,17761535,68,33,14
f8a30191-354a-445a-bd59-0d745ea399ff,17563903,79,28,11
fcfde916-7fa0-4e4c-aba2-86fd54b8b03d,17825856,86,31,14
